Inventory ID,Title,Person responsible,Others involved,Required work,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location
1466,"Wheelchair Skills Video Series, References and Resources, SCI Empowerment Project ",Debbie,,,,,External,"University of Washington, Northwest Regional Spinal Cord Injury System",unknown,,https://sci.washington.edu/empowerment/videos.asp#transfer,Mar 18-22,"Families/caregivers, Children/youth, Clinicians, Health professional students",web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,Access Training on Treatment and Care,,,"Learn About Treatment, Care and Activities",Curated Evidence Syntheses,,"Series of videos that demonstrate techniques for performing a variety of manual wheelchair skills, managing different kinds of terrain, and transferring to and from a wheelchair, to promote independence in daily life.  Also includes a compilation of references and resources on this topic. Designed for people with spinal cord injury, but may be relevant for people with other diagnoses who benefit from using a manual wheelchair.","Spinal cord injury, spina bifida, Cerebral palsy , Brain injury, concussion, Neuromuscular, genetic and rare conditions, Developmental delay ","Assistive technology, Positioning, mobility, lower body, Personal care, home routines, Play, recreation, physical activity, Hand, arm use, printing","wheelchair skills, manual wheelchair, wheeled mobility, transfers, home, community, video, instruction, wheelchair training, education ",Y,N,,,Debbie,School Age (5-19 years),USA
1467, Wheelchair Skills Program Manual Wheelchair Skills Videos,Debbie,,,,,External,"Wheelchair Skills Program, Dalhousie University",August 2020,,https://www.youtube.com/playlist?list=PL2eGvW0pWTt7s9wAX0yYBHukA2e_pE8jm,Mar 18-22,"Children/youth, Families/caregivers, Clinicians, Health professional students",Movie file,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,Access Training on Treatment and Care,,,,,,"Videos that demonstrate techniques based on the Wheelchair Skills Training Program. Includes motor skills learning principles, wheelchair skills, managing different kinds of terrain, and transferring to and from a wheelchair.","Spinal cord injury, spina bifida, Cerebral palsy , Brain injury, concussion, Neuromuscular, genetic and rare conditions, Developmental delay ","Assistive technology, Positioning, mobility, lower body, Personal care, home routines, Play, recreation, physical activity, Hand, arm use, printing","wheelchair skills, manual wheelchair, wheeled mobility, transfers, home, community, video, instruction, wheelchair training, education ",Y,N,,,Debbie,School Age (5-19 years),Canada
1468,Basic Wheelchair Skills Videos by Wheelsnoheels - Gem Hubbard,Debbie,,,,,External,Wheelsnoheels - Gem Hubbard,January 2022,,https://www.youtube.com/playlist?list=PLtbcZsZIvZdIwQ7D_H-duguZO-q1LlgM5,Mar 18-22,"Children/youth, Families/caregivers, Clinicians, Health professional students",Movie file,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,"Videos created by a woman who uses a wheelchair on a variety of topics including how to use a wheelchair, navigating various settings and terrains, transfers and accessibility considerations for home and community.","Spinal cord injury, spina bifida, Cerebral palsy , Brain injury, concussion, Neuromuscular, genetic and rare conditions, Developmental delay ","Assistive technology, Positioning, mobility, lower body, Personal care, home routines, Play, recreation, physical activity, Hand, arm use, printing","wheelchair skills, manual wheelchair, wheeled mobility, transfers, home, community, video, instruction, wheelchair training, education ",N,N,,,Debbie,School Age (5-19 years),USA
1469,"Designing and Delivering Residential Immersive Life Skills (RILS) Programs for Youth with Disabilities:
An evidence-based guide for service providers",Debbie,,,,,External,"G. King, A.C. McPherson, S. Kingsnorth, K.M. Einarson, & C Provvidenza, Holland Bloorview Kids Rehabilitation Hospital",2021,,https://hollandbloorview.ca/research-education/knowledge-translation-products/life-skills-program-guide,April 7-22,"Clinicians, Educators",Non-fillable PDF,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,"This guide offers information and tools to help with the design and delivery of life skills programs. It explains the structure and purpose of immersive, away-from-home programs, and summarizes research on essential components and effective approaches. The guide also showcases reflections from youth, parents, and staff who have experienced these programs",All,"Behaviour, emotion, social skills, Personal care, home routines, Play, recreation, physical activity, Learning, education, Communication","life skills, residential immersive program, transition to adulthood, away-from-home experiences, independence, activities of daily living, social skills, communication skills, participation, confidence",N,N,,,Debbie,Youth (15-19+ years),Ontario
1471,"Every Stage, Every Age, A comprehensive guide to tube feeding",Debbie,,,,,External,Avanos,unknown,,https://tubefed.com/,April 7-22,"Clinicians, Families/caregivers, Children/youth, Health professional students",web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,"provides information related to tube feeding, for both people new to tube-feeding and those who have used tube-feeding for some time. Introduces types of feeding tubes, glossary of terms, frequently asked questions, videos on stoma care and equipment maintainance, lived experiences shared by users of different ages and conditions.","Cerebral palsy , Brain injury, concussion, Developmental delay , Neuromuscular, genetic and rare conditions","Swallowing, eating, drinking  ","eating, drinking, tube-feeding, stoma care, enteral feeding, G tube, J tube, nasogastric tube, GJ tube, ",N,N,,,Debbie,All,USA
1473,BCCH Complex Feeding Clinic,Tanja,Debby/Rochelle,Add,,,Internal,BCCH,?,2022, http://www.bcchildrens.ca/our-services/clinics/complex-feeding-nutrition/complex-feeding-clinic,April 28 2022,"Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,,,,"Our clinic offers outpatient-based ongoing nutrition counseling and feeding therapy to eligible children with complex feeding and nutrition needs. When appropriate, we may also offer medical management.",All,"Swallowing, eating, drinking  ","tube feeding, oral feeding, nutrition, complex feeding",N,N,N,,Debby/Rochelle,All,bc
1474,BCCH Steps to Feeding,Tanja,Debby/Rochelle,Add,,,Internal,BCCH,?,2022, http://www.bcchildrens.ca/our-services/clinics/complex-feeding-nutrition/steps-to-feeding,April 28 2022,"Clinicians, Families/caregivers",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,,,,Our clinic helps children transition from a tube fed diet to oral feeding.,All,"Swallowing, eating, drinking  ","tube feeding, oral feeding, nutrition, complex feeding",N,N,N,,Debby/Rochelle,All,bc
1475,BCCH Children’s Intestinal Rehabilitation Program (CHIRP),Tanja,Debby/Rochelle,Add,,,Internal,BCCH,?,2022, http://www.bcchildrens.ca/our-services/clinics/complex-feeding-nutrition/chirp,April 28 2022,"Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,,,,Our clinic sees inpatients and outpatients with or at risk for intestinal failure across BC and the Yukon. We work closely with the BC Women's Hospital Neonatal Program and with other pediatric intestinal rehabilitation and transplant programs across Canada to develop an individualized plan for each child with intestinal failure.,All,"Swallowing, eating, drinking  ","tube feeding, oral feeding, nutrition, complex feeding",N,N,N,,Debby/Rochelle,All,bc
1476,BCCH Complex Feeding and Nutrition Service,Tanja,Debby/Rochelle,Add,,,Internal,BCCH,?,2022, http://www.bcchildrens.ca/our-services/clinics/complex-feeding-nutrition,April 28 2022,"Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,,,,The Complex Feeding and Nutrition Service (CFNS) is a comprehensive interdisciplinary team that strives to anticipate and respond to the needs of infants and children whose complex feeding and nutritional issues cannot be addressed by their community.,All,"Swallowing, eating, drinking  ","tube feeding, oral feeding, nutrition, complex feeding",N,N,N,,Debby/Rochelle,All,bc
1477,Right Review Tool,Stephanie,,,,,External,Andrea Tricco,,2022,https://rightreview.knowledgetranslation.net,"May 4, 2022",Researchers,web link,"Tools to Find, Evaluate and Use Health Information",Move Evidence into Action (Step 4 and 5),Create Knowledge Products (Knowledge Synthesis),For Other Groups,,,,,,,This tool provides guidance and supporting material on methods for the conduct and reporting of a knowledge synthesis,,,,,,,,,,
1478,Today's Kids in Motion magazine for parents raising kids with special need,Debbie,,,,,External,BCS Group,unknown,,https://www.todayskids.ca,May 12-22,"Families/caregivers, Clinicians, Educators",web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,Physical Activity,,Recreation and Leisure Activities,Arts and Cultural Programs,,Advocating for Your Family's Needs,,,"Online publication providing exchange of information for parents of children with disabilities. Topics include accessibility, health and activity, family life, learning, accessing resources, and sharing ideas, stories, and successes.",All,All,"health, lifestyle, participation, acceptance, inclusion, healthy living, accessibility, assistive technology, well-being, development",N,N,,,Debbie,All,Canada
1479,Centre for Accessible Post-Secondary Education Resources (CAPER-BC) ,Debbie,,,,,External,CAPER-BC,,,https://caperbc.ca,May 12-22,"Educators, Children/youth, Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,Equipment and Supplies,,,Find Care and Support Services in BC,School Supports,,"provides accessible learning and teaching materials to BC post-secondary students and instructors who cannot use conventional print (i.e., alternate formats for all print material including textbooks, course packs, journal articles, online sources, tests & syllabi and library material). Clients include those with disabilities due to visual impairments (including blindness), learning disabilities, physical limitations, neurological impairments and multiple disabilities.",All,"Learning, education, Vision, hearing, touch, other senses, Hand, arm use, printing, Communication, Thinking, cognition, Assistive technology","alternate print format, accessibility, learning materials, PDF, E-text, Digital Audio (MP3), Kurzweil, DAISY, Large Print, Braille & Tactile",N,N,,,Debbie,Youth (15-19+ years),BC
1480,Academic Communication Equity-British Columbia (ACE-BC),Debbie,,,,,External,ACE-BC,,,https://ace-bc.ca/,May 12-22,"Educators, Children/youth, Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,Find Care and Support Services in BC,School Supports,,,,,"provides expertise and resources for equal access to post-secondary education for students who are Deaf, hard of hearing, and DeafBlind attending post-secondary institutions in British Columbia.",Hearing and vision loss,"Learning, education, Vision, hearing, touch, other senses, Communication, Assistive technology","speech to text, transcription, assistive listening device, interpreting, online learning, accessibility, hearing loss, vision loss, communication, educational support",N,N,,,Debbie,Youth (15-19+ years),BC
