"Only applicable to the Digital Team, Claire, Steph and Kim - Legend for rows 2 and 3: X = internal use only, ID = internal use AND column to be included in database created by the Digital Lab, E = external",,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; Content - include on blade,Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,Primary toggle/filter,Advanced search/filter,,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
June 23-21,,,,,,,,,1007,Try Power - Nossa Cassa,web-ready,Debbie,,,,,,Ginny Paleg,,2021,,https://www.youtube.com/watch?v=FDThW3qVlKc,June 10-21,"Families, Caregivers, Clinicians, Educators",all,You Tube video,video file,Assessment,,,,,,,,,,Assessment,two different parents of children with cerebral palsy share their perspectives on introducing power mobility for their children and how their attitudes and lives have been enriched with their children's use of power mobility. Ginny Paleg PT summarizes what we know from research supporting power mobility use,cerebral palsy,"Assistive Device Use; Mobility, Learning; Participation, Wellbeing","wheelchair; mobility; equipment; training; education, safety, participation, well-being, development, growth, benefits ",Y,,,,Debbie,,N/A,1310,,,all,
Follow-up re: relevance (diabetes),,,,,,,,,1008,Type 1 Diabetes: An overview ,Web-ready,Maddy,N/A,,,,,Diabetes @ School,Diabetes @ School,,©2021,https://www.diabetesatschool.ca/parents/overview,"September 7, 2021","families, caregivers, children/youth",All,Website/page,web link,Background ,,,,,,,,,,Background ,General information about type 1 diabetes,diabetes,,"diabetes, insulin, causes, management",N,N/A,N/A,,,N/A,Universal,548,,,N/A,
Follow up re: relevance (seizures),,,,,,,,,1009,Types of Seizure Disorders,Web-ready,Maddy,N/A,,,,,"External, Epilepsy Ontario",Epilepsy Ontario,,,https://epilepsyontario.org/about-epilepsy/types-of-seizures/,3-Jun-21,"families, caregivers, children/youth",All,Website/page,web link,Background,,,,,,,,,,Background,"Information of different types of seizures, accompanied by short video examples",epilepsy,,"seizures, epilepsy, focal seizures, generalized seizurs, videos, examples",N,N/A,N/A,,,N/A,,579,,,N/A,
June 23-21,,,,,,,,,1010,U.S. Consumer Product Safety Commission,web-ready,Debbie,,,,,,U.S. Consumer Product Safety Commission,,,,https://www.cpsc.gov/,May 27-21,Families; Clinicians,"OT, PT, HCP students, nurses, social workers",website ,"search engine, webpages, pdfs, videos",Community Supports and Services; ,,,,,,,,,,Community Supports and Services; ,"US resources for product safety and use, including infant sleep, toys and pools/water; product recalls","those needing medical equipment  such as seating systems, wheelchairs, beds, commodes, bathchairs, etc",equipment database,"medical equipment, assistive devices, aids, standers, walkers,  wheelchairs, specialized beds and mattresses, seating systems, postural supports, adaptive equipment,  safety alerts, product recalls, product safety",no,,,Current SeatingandMobility.ca topic/webpage: Equipment Alerts,Debbie,,,193,,,all,
June 23-21,,,,,,,,,1011,UK Posture and Mobility Group (PMG),web-ready,Debbie,,,,,,Posture Mobility Group ,,,,https://www.pmguk.co.uk/,June 2-21,"Clinicians, researchers","OT, PT,","website, webinars","webpages, videos",Intervention,,,,,,,,,,Intervention,"Network of healthcare professionals interested in advancing seating and mobility clinical practice and research (in the UK). Hosts an annual conference, webinars, development of best practice guidelines, and other resources.",those that encompass restricted body movement ,"wheelchair use, mobility, sitting posture, lying posture, standing posture, postural control, learning, assistive device use, skin health","special interest groups; skin health, pressure injury prevention and management;postural support; seating; sitting posture; lying posture; positioning; wheelchair; sleep, beds, mattresses, cushions; equipment; prescription; standing, ambulation aids, supportive walking, education,  training, research",Y,,,Clinical Resources Seating Programs/Services,Debbie,,N/A,1089,,,all,
June 23-21,,,,,,,,,1011,UK Posture and Mobility Group (PMG),web-ready,Debbie,,,,,,Posture Mobility Group ,,,,https://www.pmguk.co.uk/,June 2-21,"Clinicians, researchers","OT, PT,","website, webinars","webpages, videos",Assessment,,,,,,,,,,Assessment,"Network of healthcare professionals interested in advancing seating and mobility clinical practice and research (in the UK). Hosts an annual conference, webinars, development of best practice guidelines, and other resources.",those that encompass restricted body movement ,"wheelchair use, mobility, sitting posture, lying posture, standing posture, postural control, learning, assistive device use, skin health","special interest groups; skin health, pressure injury prevention and management;postural support; seating; sitting posture; lying posture; positioning; wheelchair; sleep, beds, mattresses, cushions; equipment; prescription; standing, ambulation aids, supportive walking, education,  training, research",Y,,,Clinical Resources Seating Programs/Services,Debbie,,N/A,1090,,,all,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,1012,Understanding Attention Deficit Hyperactivity Disorder (ADHD),Web-ready,Maddy,N/A,,,,Complex Developmental Behavioural Conditions,"Centre for ADHD Awareness, Canada","Centre for ADHD Awareness, Canada",,©2021,https://caddac.ca/understanding-adhd/in-general/,"September 7, 2021","families, caregivers, children/youth",All,Website/page,web link,Background ,,,,,,,,,,Background ,General information about ADHD,ADHD,,"ADHD, executive functioning",Y,N/A,N/A,,,N/A,Canada-Wide,551,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,1013,Understood,,Claire,,,,,,"External, Understood",Understood,,© 2014- 2021,Understood - For learning and thinking differences,"August 3, 2021","families, caregivers, clinicians, educators, youth",all,Website/page,web link,community supports & services,,,,,,,,,,community supports & services,"Understood is the only lifelong guide for those who learn and think differently. Today, we help more than 24 million people each year discover their potential and learn how to take control, find community, and stay on a positive path along each stage of life’s journey.",various disabilities,,"students, child, tools, resources, young adults, business, employers, learning difference, thinking difference, attention deficit hyperactivity disorder, ADHD, dyslexia, accessibility",N,N,N,,Steph (vetted),All,US,477,,,,
11-Jun-21,,,,,,,,,1013,Understood,Web-ready,Maddy,N/A,,,,,"External, Understood",Understood,© 2014–2021,,https://www.understood.org/,11-Jun-21,"families, caregivers, children/youth, clinicians, educators",All,Website/page,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"Website that empowers those that think and learn differently by offering general information, resources, and support ",,,"learning disability, ADHD, signs and symtoms, treatment, services, school, homeschool, assistive technology, challenges, support, empowerment",N,N/A,N/A,,,,Universal,261,,,,
June 23-21,,,,,,,,,1014,United Nations Human Rights of Persons with Disabilities,web-ready,Debbie,,,,,,United Nations,,,,https://www.ohchr.org/EN/HRBodies/CRPD/Pages/ConventionRightsPersonsWithDisabilities.aspx,June 7-21,"families, caregivers, clinicians, educators",all,webpages with links,"webpages, weblinks, pdfs, ","Community Supports and Services, ",,,,,,,,,,"Community Supports and Services, ","Convention on the Rights of Persons with Disabilities aims to raise awareness, understanding and recognition of disability as a human rights issue. Supports policy development that promote rights of persons with disabilities.",various disabilities,"human rights, disability rights, participation","accessibility, inclusion, justice, health, education, freedom, respect",N,,,,Debbie,,,237,,,all,
June 23-21,,,,,,,,,1015,University of Alberta Faculty of Rehab Medicine Online Course Seating and Mobility,web-ready,Debbie,,,,,,"University of Alberta, Faculty of Rehabilitation Medicine",,,,https://www.ualberta.ca/rehabilitation/professional-development/online-course---wheelchair-and-seated-mobility.html,May 31-21,Clinicians,"OT, PT",website,webpages,Intervention,,,,,,,,,,Intervention,"Online course covering theoretical models guiding seating practice, client centered assessment, common wheelchair types, wheelchair set up for effective propulsion, common seating components, goal setting, and management of commonly encountered postural deformities, case examples. ",those that encompass restricted body movement ,"wheelchair use, mobility, sitting posture, postural control, learning, skin health","skin health, pressure injury prevention and management;postural support; seating; sitting posture; positioning; wheelchair; cushions; equipment; prescription; education,  training,",Y,,,,Debbie,,N/A,1110,,,"beginner, intermediate",
June 23-21,,,,,,,,,1015,University of Alberta Faculty of Rehab Medicine Online Course Seating and Mobility,web-ready,Debbie,,,,,,"University of Alberta, Faculty of Rehabilitation Medicine",,,,https://www.ualberta.ca/rehabilitation/professional-development/online-course---wheelchair-and-seated-mobility.html,May 31-21,Clinicians,"OT, PT",website,webpages,Assessment,,,,,,,,,,Assessment,"Online course covering theoretical models guiding seating practice, client centered assessment, common wheelchair types, wheelchair set up for effective propulsion, common seating components, goal setting, and management of commonly encountered postural deformities, case examples. ",those that encompass restricted body movement ,"wheelchair use, mobility, sitting posture, postural control, learning, skin health","skin health, pressure injury prevention and management;postural support; seating; sitting posture; positioning; wheelchair; cushions; equipment; prescription; education,  training,",Y,,,,Debbie,,N/A,1111,,,"beginner, intermediate",
June 23-21,,,,,,,,,1016,University of Delaware Go Baby Go,update website link,Debbie,, update link to https://sites.udel.edu/gobabygo/,,,,University of Delaware,,,,https://sites.udel.edu/gobabygo/,June 2-21,"families, caregivers, educators, clinicians","OT, PT, HCP students",website,webpages,Intervention,,,,,,,,,,Intervention,provides knowledge about go baby go program development and research evidence,those that encompass restricted body movement or other disabilities,"assistive device use, mobility, ",mobility;  ride on toys,N,,,Power Mobility Equipment,Debbie,,N/A,1141,,,all,
June 23-21,,,,,,,,,1016,University of Delaware Go Baby Go,update website link,Debbie,, update link to https://sites.udel.edu/gobabygo/,,,,University of Delaware,,,,https://sites.udel.edu/gobabygo/,June 2-21,"families, caregivers, educators, clinicians","OT, PT, HCP students",website,webpages,Assessment,,,,,,,,,,Assessment,provides knowledge about go baby go program development and research evidence,those that encompass restricted body movement or other disabilities,"assistive device use, mobility, ",mobility;  ride on toys,N,,,Power Mobility Equipment,Debbie,,N/A,1142,,,all,
June 23-21,,,,,,,,,1017,University of Pittsburgh continuing education site: ,web-ready,Debbie,,,,,,University of Pittsburgh Department of Rehabilitation Science and Technology  continuing education,,,,http://rstce.pitt.edu/ ,May 31-21,"Clinicians, researchers, medical equipment suppliers","OT, PT,  HCP students","webpage with link to pdfs, videos","webpages, videos, pdfs",Intervention,,,,,,,,,,Intervention,freely available webinars from past ISS-Pittsburgh conferences and U of Pittsburgh faculty presentations in addition to RESNA certification preparation courses.,those that encompass restricted body movement or other disabilities,"wheelchair use, mobility, learning, maintenance","skin health, pressure injury prevention and management;postural support; seating; sitting posture; positioning; wheelchair; cushions; equipment; prescription; education,  training, ",Y,,,,Debbie,,N/A,1112,,,all,
June 23-21,,,,,,,,,1017,University of Pittsburgh continuing education site: ,web-ready,Debbie,,,,,,University of Pittsburgh Department of Rehabilitation Science and Technology  continuing education,,,,http://rstce.pitt.edu/ ,May 31-21,"Clinicians, researchers, medical equipment suppliers","OT, PT,  HCP students","webpage with link to pdfs, videos","webpages, videos, pdfs",Assessment,,,,,,,,,,Assessment,freely available webinars from past ISS-Pittsburgh conferences and U of Pittsburgh faculty presentations in addition to RESNA certification preparation courses.,those that encompass restricted body movement or other disabilities,"wheelchair use, mobility, learning, maintenance","skin health, pressure injury prevention and management;postural support; seating; sitting posture; positioning; wheelchair; cushions; equipment; prescription; education,  training, ",Y,,,,Debbie,,N/A,1113,,,all,
June 23-21,,,,,,,,,1018,University of Pittsburgh Wheelchair Maintenance Training Program,web-ready,Debbie,,,,,,University of Pittsburgh Model Centre on Spinal Cord Injury,,,,http://www.upmc-sci.pitt.edu/node/924,May 31-21,"Clients, families, educators, Clinicians, medical equipment suppliers","OT, PT, recreation therapists, HCP students","webpage with link to pdfs, videos","webpages, videos, pdfs","Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","freely available wheelchair maintenance training program for manual and power wheelchairs users and those that support them. Includes reference manual, checklists, powerpoint presentations, videos, ",individuals using wheelchairs,"wheelchair use, mobility, posture, postural control, learning, skin health; assistive device use","wheelchair; mobility; equipment; training; maintenance, education, safety",Y,,,,Debbie,,N/A,1114,,,all,
