,,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade.,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; For internal use only (no longer to appear on the blade),Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,,"No longer using this tag, in order to simplify the user experience",This info appears on the blade but no longer being used as a filter in order to simplify the user experience,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,For team to reference when tagging information hierarchy,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
Was in Evidence Centre e-blast. Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,984,Tips for Trauma-Informed Practice (TIP),,Claire,,,,,,Internal,"PHSA: Dr. Theresa Newlove, R.Psych & Kathryn George, RCC, Psychological
Health and Safety Team, Human Resources.",2020,,http://www.phsa.ca/health-promotion-site/Documents/Covid-19%20PHSA%20News%20-%20Psych%20Health%20and%20Safety/TIP-SERIES-PHSA-Combined-RESOURCE-Final.pdf,"September 7, 2021",Clinicians,All,Info sheet,Non-fillable PDF,,,,,,,,,,,Intervention,"Tips for TIP is a general introduction and overview of trauma-informed practice. This resource is based
on an edited compilation of the a six part series of TIP articles published Nov-Dec 2020 in the ‘Working
Well’ column of the PHSA News.",no specific diagnosis,,"trauma-informed practice, trauma awareness, principles of trauma-informed practice, trauma, biology, awareness, trauma-informed practice, signs, choice, collaboration, compassion, universal precautions, language, self-awareness, self-care, organization, trauma-informed organization",N,N/A,N/A,,Kim,All,,607,,,,
Was in Evidence Centre e-blast. Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,984,Tips for Trauma-Informed Practice (TIP),,Claire,,,,,,Internal,"PHSA: Dr. Theresa Newlove, R.Psych & Kathryn George, RCC, Psychological
Health and Safety Team, Human Resources.",2020,,http://www.phsa.ca/health-promotion-site/Documents/Covid-19%20PHSA%20News%20-%20Psych%20Health%20and%20Safety/TIP-SERIES-PHSA-Combined-RESOURCE-Final.pdf,"September 7, 2021",Clinicians,All,Info sheet,Non-fillable PDF,,,,,,,,,,,Background (learn about a health condition),"Tips for TIP is a general introduction and overview of trauma-informed practice. This resource is based
on an edited compilation of the a six part series of TIP articles published Nov-Dec 2020 in the ‘Working
Well’ column of the PHSA News.",no specific diagnosis,,"trauma-informed practice, trauma awareness, principles of trauma-informed practice, trauma, biology, awareness, trauma-informed practice, signs, choice, collaboration, compassion, universal precautions, language, self-awareness, self-care, organization, trauma-informed organization",N,N/A,N/A,,Kim,All,,607,,,,
June 23-21,,,,,,,,,985,Tissue Viability Toolkit ,web-ready,Debbie,,,,,,External,Healthcare Improvement Scotland,,,http://www.healthcareimprovementscotland.org/our_work/patient_safety/tissue_viability.aspx,May 28-21,"clinicians, researchers","OT, PT, Dr, Nurse, HCP students",webpage,"webpage, weblnks, pdf, ",,,,,,,,,,,Assessment,"Online toolkit hosts resources for risk assessment, pressure ulcer grading, education and standards",those that encompass restricted body movement or who are at risk for pressure ulcers,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use;,"pressure injury; pressure sore; pressure ulcer; wounds; measurement, evaluation, ",Y,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,,N/A,788,,,all,
June 23-21,,,,,,,,,985,Tissue Viability Toolkit ,web-ready,Debbie,,,,,,External,Healthcare Improvement Scotland,,,http://www.healthcareimprovementscotland.org/our_work/patient_safety/tissue_viability.aspx,May 28-21,"clinicians, researchers","OT, PT, Dr, Nurse, HCP students",webpage,"webpage, weblnks, pdf, ",,,,,,,,,,,Intervention,"Online toolkit hosts resources for risk assessment, pressure ulcer grading, education and standards",those that encompass restricted body movement or who are at risk for pressure ulcers,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use;,"pressure injury; pressure sore; pressure ulcer; wounds; measurement, evaluation, ",Y,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,,N/A,789,,,all,
,,,,,,,Y,,986,Tone Management: Sunny Hill Health Centre,Tagging,Maddy,N/A,,,,,Internal,Sunny Hill Health Centre,,© 2021,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/tone-management,4-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,,,,,,,,,,,Assessment,Diagnostic assessments for children with problems with tone or tension in their muscles,various disabilities,,"assessment, tone, tension, muscle, neuromotor, hypertonia,  dystonia, spasms, cerebral palsy, brain injury ",N,N/A,N/A,,,,N/A,838,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 23-21,,,,,,,,,988,Top 10 Tips for Partner Assisted Scanning - ,web-ready,Debbie,,,,,,External,UNC School of Medicine Center for Literacy and Disability Studies,,,https://www.med.unc.edu/ahs/clds/resources/deaf-blind-model-classroom-resources/partner-assisted-scanning,June 7-21,"families, caregivers, clinicians, educators","SLP, OT, psychologist, PT, Dr, nurse, social worker, recreation therapist, HCP students",webpage,"webpage, pdf, ",,,,,,,,,,,"Services, Supports and Community Resources",10 tips for partner-assisted scanning ,"those that have communication difficulties with motor, cognitive and/or sensory impairments ","assistive device use, communication, learning, ","assistive technology, augmentative and alternate communication (AAC),  education, partner assisted scanning, choice-making",N,,,,Debbie,,N/A,1228,,,all,
June 23-21,,,,,,,,,988,Top 10 Tips for Partner Assisted Scanning - ,web-ready,Debbie,,,,,,External,UNC School of Medicine Center for Literacy and Disability Studies,,,https://www.med.unc.edu/ahs/clds/resources/deaf-blind-model-classroom-resources/partner-assisted-scanning,June 7-21,"families, caregivers, clinicians, educators","SLP, OT, psychologist, PT, Dr, nurse, social worker, recreation therapist, HCP students",webpage,"webpage, pdf, ",,,,,,,,,,,Intervention,10 tips for partner-assisted scanning ,"those that have communication difficulties with motor, cognitive and/or sensory impairments ","assistive device use, communication, learning, ","assistive technology, augmentative and alternate communication (AAC),  education, partner assisted scanning, choice-making",N,,,,Debbie,,N/A,1229,,,all,
,,,,,,,,,989,Training and Community Engagement: Canucks Autism Network,Web-ready,Claire,N/A,,,,Autism,External,Canucks Autism Network,,©2021,https://www.canucksautism.ca/training-community-engagement/,"September 7, 2021","families, caregivers, clinicians, educators, first responders",All,e-learning module/course,web link,,,,,,,,,,,Background,Information about training and community engagement,autism,,"sport, recreation, community spaces, first responders, schools, training, video resource library, visual supports, tip sheets, individualized consultation, resource development",Y,N/A,N/A,,,N/A,BC,586,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,unsure if you have to pay,,,,,989,Training and Community Engagement: Canucks Autism Network,Web-ready,Claire,N/A,,,,Autism,External,Canucks Autism Network,,©2021,https://www.canucksautism.ca/training-community-engagement/,"July 27, 2021","families, caregivers, clinicians, educators, first responders",All,Website/page,web link,,,,,,,,,,,Community supports & resources,Information about training and community engagement,autism,,"sport, recreation, community spaces, first responders, schools, training, video resource library, visual supports, tip sheets, individualized consultation, resource development",Y,N/A,N/A,,,All,BC,44,,,N/A,
Was in Evidence Centre e-blast. Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,990,Training and Resources: The BC Association for Child Development and Intervention,,Claire,,,,,,External,The BC Association for Child Development and Intervention,,,BCACDI | Resources for Parents & Professionals | Training Resources,"September 7, 2021",Clinicians,All,Website/page,web link,,,,,,,,,,,Intervention,"Repository of resources in the areas of: Indigenous cultural safety, trauma informed practice and brain science.",no specific diagnosis,,"Indigenous cultural safety, trauma informed practice, brain science, Trauma Informed Practice (TIP), Cultural Safety Training, webinars, online courses, reports, videos, resources",Y,N/A,N/A,,Kim,All,,609,,,,
Was in Evidence Centre e-blast. Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,990,Training and Resources: The BC Association for Child Development and Intervention,,Claire,,,,,,External,The BC Association for Child Development and Intervention,,,BCACDI | Resources for Parents & Professionals | Training Resources,"September 7, 2021",Clinicians,All,Website/page,web link,,,,,,,,,,,Background (learn about a health condition),"Repository of resources in the areas of: Indigenous cultural safety, trauma informed practice and brain science.",no specific diagnosis,,"Indigenous cultural safety, trauma informed practice, brain science, Trauma Informed Practice (TIP), Cultural Safety Training, webinars, online courses, reports, videos, resources",Y,N/A,N/A,,Kim,All,,609,,,,
Vetting completed to criteria objectivity/conflict of interest. Follow-up with Kim re: fee associated. Should we still include?,,,unsure,fee associated,,,,,991,Training: Appetite to Play ,Web-ready,Claire,,,,,,Internal,Appetite to Play,,,https://appetitetoplay.com/training,,clinicians,all,Workshop,web link,,,,,,,,,,,Community Supports and Services,"Appetite to Play offers a variety of training resources for early years providers to enhance their knowledge, skills and confidence in creating childcare settings that support healthy eating, physical activity, food and physical literacy. We also have a new module on Outside Play and Risky Play in the Early Years.",,,"food/physical activity in-person workshop food/physical activity online workshop, outside/risky play online workshop, healthy eating e-learning module, physical literacy e-learning module",Y,N,N,,,All,BC,376,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,Y,,992,Transition Planning for Youth and Young Adults: Services to Adults with Developmental Disabilities,Web-ready,Maddy,N/A,,,,,External,Government of BC,,© 2021,https://www2.gov.bc.ca/gov/content/family-social-supports/services-for-people-with-disabilities/transition-planning-for-youth-young-adults,10-Jun-21,"Families/caregivers, Children/youth, Clinicians",All,Community program,web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,"Transition Support, Services and Tools",,,,,,,Community Supports and Services,Service for people with developmental disabilities to ease the transition into adulthood. Information on the navigator program to help youth and young adults transition to adult services,"autism spectrum disorder (ASD), fetal alcohol spectrum disorder (FASD), developmental disability",,"transition, adulthood, youth, navigator, planning, future, goals, support, fasd, asd, developmental disability, information about transitions",N,N,N,,Tanja,"School Age, Youth",BC,250,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,Y,,993,Transition Resource Guide for Students with Disabilities,Web-ready,Maddy,,,,,,External,Transition Resource Guide,,© 2021,https://www.transitionresourceguide.ca/resources,03-Aug-21,"Families/caregivers, Children/youth, Clinicians",All,Website/page,Web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,,,,,,,Community Supports and Services,Information for youth with disabilities before they head off to college or university,,,"transition, college, university, financial aid, advocacy, education, applying, choosing, rights, responsibilities, accessibility services, residence, campus",N,N,N,,,Youth,Ontario specific? Canada,316,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,994,Transition to Adult Care,Ready for upload,Tanja,,add,n/a,26-May-21,,Internal,"Internal, BC Children's Hospital",?,2021,http://www.bcchildrens.ca/our-services/support-services/transition-to-adult-care,23-Aug-21,"Clinicians, Educators, families, caregivers, children/youth",All,Website/page,web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,"Transition Support, Services and Tools",,,,,,,"community supports and services,","The goal of transition to adult care is to support youth with special health care needs and their families or caregivers to gain the confidence, skills and knowledge  to be ready to enter the adult health care system",Varied,transition,"transition, youth, adult, services, information about transitions, navigating the health care system, youth with special health care needs, adult health care system, health care providers, toolkit, pediatric health care system",Y,Y,N,,Bill M.,"Youth, School Age",BC,20,,,Introductory,
,,,,,,,,,995,Transition to adult services passport,Does not appear to be in inventory. Inquire with Kim: Do we know what this is?,Maddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,,,,
Steph - review/edit and fill in columns,,,unsure (?2020),,,,,,996,Transitional Foods: Sunny Hill Health Centre,,Steph,,,,,,Internal,Sunny Hill Health Centre,,,>family portal>content by discipline> dietician,,"families, caregivers, clinicians",all,Handout,Non-fillable PDF,,,,,,,,,,,Intervention,Information about transitional foods,,,"transitional foods, texture, examples",N,N,N,,Cathy F. ,All,,1370,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,unknown,,,,,997,Transitioning to Adult Care for Youth with Chronic Health Conditions and Disabilities,Ready for upload,Tanja,,add,n/a,26-May-21,,External,Sandy Whitehouse; Doctors of BC & MOH Specialist Services Committee,?,?,https://elearning.ubccpd.ca/enrol/index.php?id=37,27-Jul-21,Clinicians,All,e-learning module,e-learning module,,,,,,,,,,,"community supports and services,",E-learning module created to educate health providers on ways to better facilitate the continuity of care for youth with chronic health conditions and disabilities who are transitioning from paediatric care to the adult care system,Varied,transition,"transition, youth, adult, services, information about transitions",Y,N,N,,Tanja,"Youth, School Age",BC,21,,,Introductory,
Double check with Steph/Kim re: can we say guideline if it is a guide?,,,2021,,,,,,998,Transitioning to High School: A Guide for Parents of Children with Diverse Abilities,,Claire,,,,,,External,BC Centre for Ability,,,https://bc-cfa.org/wp-content/uploads/2021/03/BCCFA-Transitioning-to-High-School-Guide.pdf,"September 1, 2021","families, caregivers, clinicians, educators, children/youth",All,Guideline,Non-fillable PDF,"Services, Supports & Community Resources",Age and Healthcare Transitions,Preschool to School,,,,,,,,"Services, Supports and Community Resources","This guide is meant to help prepare yourself and your child for this transition, so you feel confident and equipped throughout the process. The guide is broken down into three sections and finishes with recommended resources for you to access. ",various disabilities,,"transitioning, high school, school, parents, children, families, caregivers, preparing, school process, mental wellness, mental health, planning, programs, program options, elementary school, diverse needs, disabilties, timeline, individual education plan, IEP, curriculum, adolescents, mood, mindfulness, safety online, screen time, resources",N,N,N,,Mandy Y. ,"School Age, Youth",,1377,,,,
